Category,Key,English,Swahili,File,Line
"you-are-about-to-switch-back-to-customer-mode-you-will-be-able-to","You are about to switch back to customer mode. You will be able to:","","components/merchants/ExitMerchantModeDialog.tsx",46
"browse-and-shop-from-stores","Browse and shop from stores","","components/merchants/ExitMerchantModeDialog.tsx",49
"view-your-orders-and-cart","View your orders and cart","","components/merchants/ExitMerchantModeDialog.tsx",50
"manage-your-customer-profile","Manage your customer profile","","components/merchants/ExitMerchantModeDialog.tsx",51
"you-can-return-to-merchant-mode-anytime-from-your-profile","You can return to merchant mode anytime from your profile.","","components/merchants/ExitMerchantModeDialog.tsx",54
"cancel","Cancel","","components/merchants/ExitMerchantModeDialog.tsx",60
"welcome-back-to-your-dashboard","Welcome Back To Your Dashboard","","components/merchants/DashboardHeader.tsx",24
"manage-your-store-products-and-orders","Manage your store, products, and orders","","components/merchants/DashboardHeader.tsx",27
"insights","Insights","","components/merchants/DashboardHeader.tsx",39
"add-product","Add Product","","components/merchants/DashboardHeader.tsx",45
"no-active-orders","No active orders","","components/merchants/ActiveOrders.tsx",93
"new-orders-will-appear-here","New orders will appear here","","components/merchants/ActiveOrders.tsx",94
"action-required","Action Required","","components/merchants/ActiveOrders.tsx",144
"call","Call","","components/merchants/ActiveOrders.tsx",170
"order-time","Order Time","","components/merchants/ActiveOrders.tsx",256
"pickup-code","Pickup Code","","components/merchants/ActiveOrders.tsx",264
"accept-order","Accept Order","","components/merchants/ActiveOrders.tsx",287
"start-preparation","Start Preparation","","components/merchants/ActiveOrders.tsx",289
"mark-ready","Mark Ready","","components/merchants/ActiveOrders.tsx",291
"reject","Reject","","components/merchants/ActiveOrders.tsx",312
"zoom-in","Zoom in","","components/map/MapBoxControls.tsx",28
"zoom-out","Zoom out","","components/map/MapBoxControls.tsx",32
"you-can-only-draw-one-polygon-by-zone-update-or-delete-the-existing-polygon-first","You can only draw one polygon by zone, update or delete the existing polygon first","","components/map/MapBoxControls.tsx",51
"lightning-fast","Lightning Fast","","components/home/HomePageClient.tsx",22
"30-minute-average-delivery-time-for-all-your-essentials","30-minute average delivery time for all your essentials","","components/home/HomePageClient.tsx",23
"safe-secure","Safe & Secure","","components/home/HomePageClient.tsx",27
"end-to-end-encrypted-with-verified-pickup-and-delivery-codes","End-to-end encrypted with verified pickup and delivery codes","","components/home/HomePageClient.tsx",28
"24-7-available","24/7 Available","","components/home/HomePageClient.tsx",32
"order-anytime-anywhere-from-our-network-of-local-stores","Order anytime, anywhere from our network of local stores","","components/home/HomePageClient.tsx",33
"wide-selection","Wide Selection","","components/home/HomePageClient.tsx",37
